Estimate,Std. Error,df,t value,Pr(>|t|),Std_Coefficient,CI_low,CI_high,std_SE,var,between_var,within_var,between_var_std,within_var_std,n_group,n_all,vpc,type,x,y,m,model_spe,factor_no,intervention_no,moderation_no,ame_no,SE_no,z_no,p_no,lower_no,upper_no,factor_yes,intervention_yes,moderation_yes,ame_yes,SE_yes,z_yes,p_yes,lower_yes,upper_yes
0.028102098,0.017701557,1342.381491,1.587549497,0.112623744,0.063401698,-0.014873638,0.141677035,0.039936837,interventionMO:prepost_b_daPost,0.008086431,0.003956835,0.089924586,0.06290338,1863,164855,0.671448336,comment|video|creator,treatment,cm_knowledge_bi,lgbtq,moderation,,,,,,,,,,,,,,,,,,
-0.170631937,0.088726067,38.28677752,-1.92313199,0.061924077,-0.38496609,-0.777308192,0.007376012,0.20017675,interventionC+M:moderationYes,0.008086431,0.003956835,0.089924586,0.06290338,1863,164855,0.671448336,comment|video|creator,treatment,cm_knowledge_bi,lgbtq,moderation,,,,,,,,,,,,,,,,,,
-0.095499878,0.075908646,40.56335533,-1.258089604,0.215553359,-0.215459174,-0.551123298,0.12020495,0.171259095,interventionMO:moderationYes,0.008086431,0.003956835,0.089924586,0.06290338,1863,164855,0.671448336,comment|video|creator,treatment,cm_knowledge_bi,lgbtq,moderation,,,,,,,,,,,,,,,,,,
-0.012254967,0.027325977,1513.481594,-0.448473142,0.653875962,-0.027648686,-0.148482691,0.093185319,0.061650683,prepost_b_daPost:moderationYes,0.008086431,0.003956835,0.089924586,0.06290338,1863,164855,0.671448336,comment|video|creator,treatment,cm_knowledge_bi,lgbtq,moderation,,,,,,,,,,,,,,,,,,
0.087284362,0.058065733,3291.057459,1.503199182,0.132883636,0.196923982,-0.05983957,0.453687534,0.131003258,interventionC+M:prepost_b_daPost:moderationYes,0.008086431,0.003956835,0.089924586,0.06290338,1863,164855,0.671448336,comment|video|creator,treatment,cm_knowledge_bi,lgbtq,moderation,,,,,,,,,,,,,,,,,,
0.021081613,0.041361632,1234.81467,0.509690067,0.610359691,0.047562659,-0.135336264,0.230461581,0.093316806,interventionMO:prepost_b_daPost:moderationYes,0.008086431,0.003956835,0.089924586,0.06290338,1863,164855,0.671448336,comment|video|creator,treatment,cm_knowledge_bi,lgbtq,moderation,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_bi,lgbtq,moderation,prepost_b_daPost,Control,No,-0.015630829,0.014776657,-1.057805533,0.29014411,-0.044592544,0.013330886,,,,,,,,,
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_bi,lgbtq,moderation,prepost_b_daPost,C+M,No,-0.004329428,0.011176176,-0.38738006,0.698474864,-0.026234331,0.017575475,,,,,,,,,
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_bi,lgbtq,moderation,prepost_b_daPost,MO,No,0.012471269,0.009746565,1.279555221,0.200701607,-0.006631649,0.031574186,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,prepost_b_daPost,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,prepost_b_daPost,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,prepost_b_daPost,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_bi,lgbtq,moderation,,,,,,,,,,prepost_b_daPost,Control,Yes,-0.027885796,0.02298607,-1.213160636,0.225068411,-0.072937666,0.017166074
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_bi,lgbtq,moderation,,,,,,,,,,prepost_b_daPost,C+M,Yes,0.070699968,0.050000134,1.41399556,0.157363206,-0.027298494,0.16869843
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_bi,lgbtq,moderation,,,,,,,,,,prepost_b_daPost,MO,Yes,0.021297915,0.029480164,0.722449001,0.470018469,-0.036482145,0.079077975
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prepost_b_daPost,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prepost_b_daPost,,,,,,,,
