Estimate,Std. Error,df,t value,Pr(>|t|),var,Std_Coefficient,CI_low,CI_high,std_SE,between_var,within_var,between_var_std,within_var_std,n_group,n_all,vpc,type,x,y,model_spe,factor,intervention,AME,SE,z,p,lower,upper
-0.006485009,0.011074898,1329.509973,-0.585559268,0.558271104,interventionC+M:prepost_b_daPost,-0.021066631,-0.091580529,0.049447267,0.035976876,0.003488164,0.000439369,0.059060684,0.020961126,1863,164855,0.888131106,comment|video|creator,treatment,cm_seek_wb_info,base,,,,,,,,
-0.016661981,0.010365038,1141.811519,-1.60751764,0.108217329,interventionMO:prepost_b_daPost,-0.054126595,-0.120120816,0.011867625,0.033670892,0.003488164,0.000439369,0.059060684,0.020961126,1863,164855,0.888131106,comment|video|creator,treatment,cm_seek_wb_info,base,,,,,,,,
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_seek_wb_info,base,prepost_b_daPost,Control,0.009203928,0.008328373,1.105129237,0.269103593,-0.007119382,0.025527238
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_seek_wb_info,base,prepost_b_daPost,C+M,0.002718919,0.007300107,0.372449209,0.709558422,-0.011589028,0.017026866
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_seek_wb_info,base,prepost_b_daPost,MO,-0.007458053,0.006170269,-1.208707925,0.226775076,-0.019551559,0.004635452
0.063405829,0.017543791,56.86000577,3.614146507,0.000639659,(Intercept),-0.021426242,-0.157248717,0.114396233,0.069297946,0.004946574,0.003434797,0.070331881,0.058607141,1863,164855,0.590186712,comment|video|creator,treatment,cm_self_disclose_mh,base,,,,,,,,
0.030496505,0.0231494,57.84821931,1.317377775,0.192906185,interventionC+M,0.120460611,-0.05875999,0.299681211,0.091440091,0.004946574,0.003434797,0.070331881,0.058607141,1863,164855,0.590186712,comment|video|creator,treatment,cm_self_disclose_mh,base,,,,,,,,
0.009040658,0.025312889,56.75865942,0.357156332,0.722299322,interventionMO,0.035710362,-0.160259787,0.231680511,0.099985873,0.004946574,0.003434797,0.070331881,0.058607141,1863,164855,0.590186712,comment|video|creator,treatment,cm_self_disclose_mh,base,,,,,,,,
0.003000584,0.008690677,1544.057943,0.345264679,0.729942426,prepost_b_daPost,0.011852188,-0.055429882,0.079134257,0.034327965,0.004946574,0.003434797,0.070331881,0.058607141,1863,164855,0.590186712,comment|video|creator,treatment,cm_self_disclose_mh,base,,,,,,,,
-0.017604709,0.011552755,1547.621215,-1.523853767,0.12774955,interventionC+M:prepost_b_daPost,-0.069538184,-0.15897808,0.019901713,0.045633104,0.004946574,0.003434797,0.070331881,0.058607141,1863,164855,0.590186712,comment|video|creator,treatment,cm_self_disclose_mh,base,,,,,,,,
